ID,Флаг дозвона,Флаг продажи,Расходы,PV,NPV
2033,0,0,47,0,-47
2034,1,1,1299,2266,967
2035,1,1,1592,1318,-274
2036,1,1,360,1503,1143
2037,0,0,146,0,-146
2038,1,0,32,0,-32
2039,0,0,52,0,-52
2040,1,1,128,1292,1164
2041,1,0,10,0,-10
2042,1,1,106,1365,1259
2043,0,0,36,0,-36
2044,1,0,33,0,-33
2045,0,0,198,0,-198
2046,0,0,21,0,-21
2047,1,0,14,0,-14
2048,0,0,13,0,-13
2049,0,0,60,0,-60
2050,0,0,7,0,-7
2051,1,0,9,0,-9
2052,0,0,21,0,-21
2053,0,0,71,0,-71
2054,1,1,527,1215,688
2055,1,1,199,1954,1755
2056,1,0,17,0,-17
2057,0,0,4,0,-4
2058,1,1,335,1229,894
2059,0,0,26,0,-26
2060,1,0,54,0,-54
2061,1,1,1447,1799,352
2062,1,0,5,0,-5
2063,0,0,7,0,-7
2064,1,0,149,0,-149
2065,1,0,10,0,-10
2066,1,1,98,1407,1309
2067,0,0,25,0,-25
2068,1,0,143,0,-143
2069,1,1,905,1248,343
2070,1,0,25,0,-25
2071,1,0,371,0,-371
2072,0,0,18,0,-18
2073,1,0,13,0,-13
2074,0,0,7,0,-7
2075,1,1,419,1480,1061
2076,0,0,51,0,-51
2077,1,0,67,0,-67
2078,0,0,6,0,-6
2079,0,0,42,0,-42
2080,0,0,53,0,-53
2081,0,0,138,0,-138
2082,0,0,30,0,-30
2083,0,0,41,0,-41
2084,0,0,34,0,-34
2085,1,1,189,1501,1312
2086,1,0,44,0,-44
2087,1,1,1306,1765,459
2088,0,0,105,0,-105
2089,1,1,106,1413,1307
2090,1,1,778,1325,547
2091,1,1,185,1381,1196
2092,0,0,56,0,-56
2093,1,0,36,0,-36
2094,1,1,336,1530,1194
2095,1,1,1523,1663,140
2096,1,1,274,2863,2589
2097,0,0,24,0,-24
2098,0,0,75,0,-75
2099,0,0,55,0,-55
2100,1,0,30,0,-30
2101,0,0,32,0,-32
2102,1,1,129,1617,1488
2103,1,0,28,0,-28
2104,1,0,85,0,-85
2105,0,0,31,0,-31
2106,1,1,763,1307,544
2107,0,0,5,0,-5
2108,1,1,10,1287,1277
2109,0,0,47,0,-47
2110,1,1,402,1294,892
2111,1,1,682,1269,587
2112,0,0,26,0,-26
2113,1,0,40,0,-40
2114,1,1,396,1233,837
2115,1,0,23,0,-23
2116,1,0,31,0,-31
2117,0,0,126,0,-126
2118,1,1,895,1705,810
2119,1,0,4,0,-4
2120,1,1,425,1261,836
2121,1,1,120,1772,1652
2122,1,1,469,1595,1126
2123,1,1,66,1223,1157
2124,1,1,670,1206,536
2125,0,0,60,0,-60
2126,1,1,676,1563,887
2127,0,0,22,0,-22
2128,1,0,131,0,-131
2129,0,0,10,0,-10
2130,0,0,73,0,-73
2131,1,1,927,1342,415
2132,1,1,638,1446,808
2133,0,0,22,0,-22
2134,0,0,17,0,-17
2135,1,1,431,2286,1855
2136,1,0,69,0,-69
2137,1,1,151,1441,1290
2138,0,0,174,0,-174
2139,1,0,52,0,-52
2140,1,1,79,1259,1180
2141,0,0,3,0,-3
2142,1,0,0,0,0
2143,1,0,261,0,-261
2144,0,0,14,0,-14
2145,0,0,64,0,-64
2146,1,0,43,0,-43
2147,0,0,7,0,-7
2148,0,0,24,0,-24
2149,1,1,96,1820,1724
2150,0,0,23,0,-23
2151,1,1,304,1341,1037
2152,0,0,42,0,-42
2153,0,0,44,0,-44
2154,1,0,75,0,-75
2155,0,0,2,0,-2
2156,1,1,563,1327,764
2157,0,0,40,0,-40
2158,1,1,574,1381,807
2159,0,0,31,0,-31
2160,0,0,45,0,-45
2161,1,1,250,1475,1225
2162,0,0,114,0,-114
2163,1,0,78,0,-78
2164,1,0,91,0,-91
2165,0,0,145,0,-145
2166,1,0,26,0,-26
2167,1,0,20,0,-20
2168,1,0,37,0,-37
2169,1,1,994,1296,302
2170,1,0,119,0,-119
2171,1,1,191,1538,1347
2172,1,0,115,0,-115
2173,1,0,5,0,-5
2174,0,0,73,0,-73
2175,1,1,832,1724,892
2176,1,1,1901,2130,229
2177,1,1,76,1883,1807
2178,1,0,22,0,-22
2179,1,0,19,0,-19
2180,1,1,154,1274,1120
2181,1,1,349,2060,1711
2182,1,1,446,1481,1035
2183,0,0,2,0,-2
2184,1,1,380,1304,924
2185,0,0,25,0,-25
2186,0,0,19,0,-19
2187,0,0,5,0,-5
2188,0,0,6,0,-6
2189,0,0,50,0,-50
2190,0,0,8,0,-8
2191,0,0,103,0,-103
2192,1,0,104,0,-104
2193,1,1,470,1232,762
2194,1,0,37,0,-37
2195,1,0,0,0,0
2196,1,1,875,2288,1413
2197,1,1,280,1312,1032
2198,0,0,28,0,-28
2199,1,1,138,1322,1184
2200,1,1,261,1313,1052
2201,1,1,434,1277,843
2202,0,0,54,0,-54
2203,1,1,2641,1334,-1307
2204,1,0,40,0,-40
2205,1,1,152,1343,1191
2206,1,0,39,0,-39
2207,1,1,1747,1870,123
2208,0,0,52,0,-52
2209,1,0,72,0,-72
2210,0,0,72,0,-72
2211,1,1,853,1973,1120
2212,1,1,230,1506,1276
2213,1,1,64,1469,1405
2214,0,0,15,0,-15
2215,0,0,100,0,-100
2216,1,0,66,0,-66
2217,0,0,20,0,-20
2218,1,1,1388,1216,-172
2219,0,0,9,0,-9
2220,1,1,695,1297,602
2221,1,1,1045,1507,462
2222,1,1,1942,1516,-426
2223,0,0,17,0,-17
2224,0,0,72,0,-72
2225,0,0,48,0,-48
2226,0,0,24,0,-24
2227,1,1,1063,1426,363
2228,1,1,58,1761,1703
2229,0,0,53,0,-53
2230,0,0,50,0,-50
2231,1,1,137,1252,1115
2232,0,0,72,0,-72
2233,0,0,6,0,-6
2234,1,1,1027,1317,290
2235,1,1,4523,1238,-3285
2236,1,1,844,1285,441
2237,1,1,846,1285,439
2238,1,1,322,2261,1939
2239,1,1,784,1327,543
2240,0,0,307,0,-307
2241,1,0,11,0,-11
2242,1,0,260,0,-260
2243,0,0,110,0,-110
2244,1,0,89,0,-89
2245,1,1,486,1282,796
2246,1,0,1,0,-1
2247,1,0,117,0,-117
2248,1,0,9,0,-9
2249,0,0,2,0,-2
2250,1,1,770,2406,1636
2251,1,0,3,0,-3
2252,1,1,89,1315,1226
2253,0,0,172,0,-172
2254,0,0,84,0,-84
2255,0,0,7,0,-7
2256,1,1,60,1456,1396
2257,0,0,110,0,-110
2258,0,0,6,0,-6
2259,1,0,26,0,-26
2260,0,0,66,0,-66
2261,0,0,82,0,-82
2262,1,0,24,0,-24
2263,1,1,878,1250,372
2264,0,0,65,0,-65
2265,0,0,67,0,-67
2266,1,1,558,1421,863
2267,0,0,49,0,-49
2268,0,0,42,0,-42
2269,1,0,5,0,-5
2270,0,0,87,0,-87
2271,1,0,11,0,-11
2272,1,0,4,0,-4
2273,1,1,570,1254,684
2274,1,1,122,1446,1324
2275,0,0,104,0,-104
2276,1,0,67,0,-67
2277,1,0,53,0,-53
2278,1,0,43,0,-43
2279,1,1,1863,1287,-576
2280,1,0,211,0,-211
2281,0,0,24,0,-24
2282,1,0,45,0,-45
2283,1,1,217,1295,1078
2284,1,1,676,1542,866
2285,0,0,58,0,-58
2286,1,0,0,0,0
2287,1,1,199,2293,2094
2288,0,0,39,0,-39
2289,1,0,9,0,-9
2290,1,0,49,0,-49
2291,1,0,5,0,-5
2292,0,0,128,0,-128
2293,1,1,211,1324,1113
2294,0,0,0,0,0
2295,0,0,85,0,-85
2296,1,1,36,1465,1429
2297,1,1,604,1409,805
2298,1,0,90,0,-90
2299,1,0,63,0,-63
2300,0,0,461,0,-461
2301,0,0,9,0,-9
2302,1,0,88,0,-88
2303,1,1,299,1206,907
2304,1,1,1257,2247,990
2305,0,0,58,0,-58
2306,1,0,11,0,-11
2307,1,0,63,0,-63
2308,1,0,42,0,-42
2309,0,0,2,0,-2
2310,0,0,202,0,-202
2311,1,0,116,0,-116
2312,0,0,28,0,-28
2313,1,1,56,1400,1344
2314,1,1,432,1309,877
2315,0,0,18,0,-18
2316,1,0,18,0,-18
2317,1,1,226,1298,1072
2318,1,0,23,0,-23
2319,1,1,2056,1857,-199
2320,1,0,34,0,-34
2321,1,0,128,0,-128
2322,0,0,34,0,-34
2323,1,0,19,0,-19
2324,1,0,34,0,-34
2325,0,0,11,0,-11
2326,0,0,74,0,-74
2327,0,0,100,0,-100
2328,1,1,218,1227,1009
2329,0,0,19,0,-19
2330,0,0,19,0,-19
2331,0,0,37,0,-37
2332,1,0,141,0,-141
2333,0,0,15,0,-15
2334,0,0,72,0,-72
2335,1,1,207,1502,1295
2336,0,0,40,0,-40
2337,0,0,85,0,-85
2338,1,0,66,0,-66
2339,0,0,2,0,-2
2340,1,0,78,0,-78
2341,1,1,1058,1211,153
2342,1,0,93,0,-93
2343,1,0,9,0,-9
2344,0,0,9,0,-9
2345,1,1,292,1374,1082
2346,0,0,2,0,-2
2347,1,0,30,0,-30
2348,1,1,1916,1356,-560
2349,1,1,420,2990,2570
2350,0,0,75,0,-75
2351,1,1,482,1855,1373
2352,0,0,59,0,-59
2353,0,0,0,0,0
2354,1,0,3,0,-3
2355,1,1,594,2293,1699
2356,0,0,13,0,-13
2357,0,0,22,0,-22
2358,1,1,309,2127,1818
2359,1,0,23,0,-23
2360,0,0,71,0,-71
2361,1,1,101,2098,1997
2362,1,0,60,0,-60
2363,1,0,101,0,-101
2364,1,0,25,0,-25
2365,0,0,49,0,-49
2366,1,1,1611,1217,-394
2367,1,0,17,0,-17
2368,1,0,77,0,-77
2369,1,0,100,0,-100
2370,1,0,111,0,-111
2371,1,1,240,1423,1183
2372,0,0,9,0,-9
2373,0,0,34,0,-34
2374,1,1,49,2107,2058
2375,1,0,53,0,-53
2376,0,0,217,0,-217
2377,1,0,93,0,-93
2378,0,0,8,0,-8
2379,1,0,38,0,-38
2380,1,1,126,1206,1080
2381,0,0,19,0,-19
2382,0,0,22,0,-22
2383,1,1,842,1761,919
2384,0,0,111,0,-111
2385,1,1,1582,1960,378
2386,1,1,120,1492,1372
2387,1,0,80,0,-80
2388,0,0,19,0,-19
2389,0,0,34,0,-34
2390,1,0,1,0,-1
2391,1,0,18,0,-18
2392,0,0,42,0,-42
2393,0,0,0,0,0
2394,1,1,23,1270,1247
2395,0,0,5,0,-5
2396,0,0,121,0,-121
2397,1,1,128,1730,1602
2398,1,1,164,2293,2129
2399,1,1,118,1490,1372
2400,1,1,982,1599,617
2401,1,1,67,2135,2068
2402,1,0,29,0,-29
2403,0,0,73,0,-73
2404,1,0,129,0,-129
2405,1,0,16,0,-16
2406,1,1,1356,1424,68
2407,0,0,31,0,-31
2408,1,1,463,1380,917
2409,1,1,1179,1930,751
2410,1,0,143,0,-143
2411,0,0,34,0,-34
2412,0,0,16,0,-16
2413,0,0,2,0,-2
2414,1,0,45,0,-45
2415,0,0,42,0,-42
2416,0,0,97,0,-97
2417,1,0,5,0,-5
2418,1,0,62,0,-62
2419,1,1,686,1293,607
2420,1,0,47,0,-47
2421,1,1,760,1254,494
2422,1,1,140,2257,2117
2423,1,0,168,0,-168
2424,0,0,154,0,-154
2425,0,0,20,0,-20
2426,0,0,56,0,-56
2427,1,0,32,0,-32
2428,0,0,2,0,-2
2429,1,1,457,1393,936
2430,1,0,127,0,-127
2431,1,0,6,0,-6
2432,1,1,408,1305,897
2433,1,1,511,1260,749
2434,1,1,365,1262,897
2435,1,0,69,0,-69
2436,0,0,102,0,-102
2437,0,0,105,0,-105
2438,1,0,20,0,-20
2439,0,0,18,0,-18
2440,0,0,26,0,-26
2441,1,0,8,0,-8
2442,1,0,64,0,-64
2443,0,0,68,0,-68
2444,1,1,433,1549,1116
2445,1,0,18,0,-18
2446,0,0,23,0,-23
2447,0,0,46,0,-46
2448,0,0,10,0,-10
2449,1,0,58,0,-58
2450,0,0,13,0,-13
2451,1,0,5,0,-5
2452,0,0,107,0,-107
2453,1,0,21,0,-21
2454,1,1,1295,1232,-63
2455,0,0,100,0,-100
2456,0,0,96,0,-96
2457,1,0,8,0,-8
2458,1,0,57,0,-57
2459,1,1,118,1378,1260
2460,0,0,109,0,-109
2461,1,1,470,1216,746
2462,1,1,1069,1328,259
2463,1,0,4,0,-4
2464,1,1,257,1861,1604
2465,1,1,929,3035,2106
2466,1,1,978,1312,334
2467,1,1,420,1314,894
2468,1,1,343,1960,1617
2469,0,0,21,0,-21
2470,1,1,298,1364,1066
2471,1,0,64,0,-64
2472,0,0,13,0,-13
2473,0,0,98,0,-98
2474,1,0,33,0,-33
2475,1,0,119,0,-119
2476,0,0,83,0,-83
2477,1,0,30,0,-30
2478,1,1,563,1327,764
2479,0,0,24,0,-24
2480,1,1,383,1389,1006
2481,1,0,250,0,-250
2482,1,0,42,0,-42
2483,0,0,4,0,-4
2484,1,0,32,0,-32
2485,1,1,1642,1427,-215
2486,1,1,697,1274,577
2487,1,0,111,0,-111
2488,0,0,14,0,-14
2489,1,1,417,1614,1197
2490,1,1,449,1378,929
2491,1,0,98,0,-98
2492,0,0,28,0,-28
2493,1,0,31,0,-31
2494,1,0,35,0,-35
2495,0,0,30,0,-30
2496,0,0,4,0,-4
2497,0,0,15,0,-15
2498,1,1,388,1259,871
2499,0,0,124,0,-124
2500,0,0,79,0,-79
2501,1,0,74,0,-74
2502,1,1,207,1243,1036
2503,0,0,1,0,-1
2504,0,0,29,0,-29
2505,1,1,646,1811,1165
2506,1,0,17,0,-17
2507,1,1,1128,2653,1525
2508,1,1,83,1571,1488
2509,1,1,602,1539,937
2510,1,1,807,1318,511
2511,0,0,110,0,-110
2512,0,0,71,0,-71
2513,0,0,5,0,-5
2514,0,0,6,0,-6
2515,1,1,204,1721,1517
2516,1,1,463,1256,793
2517,1,1,435,1275,840
2518,1,1,1362,1281,-81
2519,1,1,686,3700,3014
2520,0,0,138,0,-138
2521,1,0,67,0,-67
2522,0,0,14,0,-14
2523,0,0,6,0,-6
2524,1,0,114,0,-114
2525,1,0,28,0,-28
2526,1,1,147,1209,1062
2527,0,0,129,0,-129
2528,0,0,25,0,-25
2529,0,0,5,0,-5
2530,0,0,6,0,-6
2531,1,0,44,0,-44
2532,1,1,1197,1477,280
2533,1,0,84,0,-84
2534,0,0,7,0,-7
2535,1,0,71,0,-71
2536,0,0,56,0,-56
2537,1,1,141,1371,1230
2538,1,0,120,0,-120
2539,0,0,16,0,-16
2540,0,0,44,0,-44
2541,1,1,189,1447,1258
2542,0,0,17,0,-17
2543,0,0,69,0,-69
2544,1,0,9,0,-9
2545,1,1,203,1620,1417
2546,1,1,1865,1763,-102
2547,1,1,24,1560,1536
2548,1,0,23,0,-23
2549,0,0,21,0,-21
2550,0,0,37,0,-37
2551,0,0,28,0,-28
2552,1,1,528,1311,783
2553,1,1,2824,1920,-904
2554,0,0,29,0,-29
2555,1,0,17,0,-17
2556,1,0,101,0,-101
2557,1,0,184,0,-184
2558,1,1,1063,1306,243
2559,0,0,8,0,-8
2560,1,0,36,0,-36
2561,1,0,118,0,-118
2562,0,0,16,0,-16
2563,1,1,1205,1254,49
2564,1,1,158,1200,1042
2565,1,0,72,0,-72
2566,0,0,9,0,-9
2567,1,1,395,1324,929
2568,0,0,190,0,-190
2569,0,0,23,0,-23
2570,0,0,43,0,-43
2571,0,0,15,0,-15
2572,1,0,188,0,-188
2573,0,0,18,0,-18
2574,0,0,4,0,-4
2575,0,0,13,0,-13
2576,1,1,948,1356,408
2577,1,0,70,0,-70
2578,0,0,40,0,-40
2579,1,1,267,1349,1082
2580,0,0,129,0,-129
2581,1,0,26,0,-26
2582,1,1,51,1618,1567
2583,1,0,70,0,-70
2584,0,0,17,0,-17
2585,0,0,13,0,-13
2586,0,0,48,0,-48
2587,0,0,52,0,-52
2588,1,1,401,1536,1135
2589,1,0,126,0,-126
2590,0,0,50,0,-50
2591,1,0,131,0,-131
2592,1,1,558,2842,2284
2593,1,1,141,1683,1542
2594,1,0,32,0,-32
2595,1,1,332,1773,1441
2596,1,0,16,0,-16
2597,1,0,9,0,-9
2598,1,1,122,1369,1247
2599,1,0,28,0,-28
2600,1,0,56,0,-56
2601,1,1,366,1745,1379
2602,1,1,1186,1450,264
2603,1,1,1364,1450,86
2604,1,0,5,0,-5
2605,1,1,742,1396,654
2606,1,1,213,1819,1606
2607,1,1,2186,1363,-823
2608,0,0,95,0,-95
2609,1,1,237,1513,1276
2610,0,0,10,0,-10
2611,1,1,1980,1341,-639
2612,1,1,130,1407,1277
2613,1,1,341,1458,1117
2614,0,0,30,0,-30
2615,1,0,5,0,-5
2616,0,0,7,0,-7
2617,0,0,231,0,-231
2618,1,1,464,1217,753
2619,1,1,389,1628,1239
2620,1,1,686,1200,514
2621,1,1,799,1747,948
2622,1,1,347,1589,1242
2623,1,1,430,1361,931
2624,0,0,9,0,-9
2625,1,0,261,0,-261
2626,0,0,49,0,-49
2627,1,0,104,0,-104
2628,1,0,47,0,-47
2629,0,0,112,0,-112
2630,0,0,9,0,-9
2631,1,0,27,0,-27
2632,1,1,346,1269,923
2633,1,1,1180,1268,88
2634,1,1,429,1605,1176
2635,1,1,452,1559,1107
2636,0,0,36,0,-36
2637,1,0,21,0,-21
2638,1,1,673,1496,823
2639,1,0,71,0,-71
2640,0,0,33,0,-33
2641,1,0,48,0,-48
2642,0,0,18,0,-18
2643,1,1,646,1272,626
2644,1,1,626,1294,668
2645,1,1,1125,1283,158
2646,1,0,16,0,-16
2647,1,1,1187,1263,76
2648,0,0,38,0,-38
2649,1,0,8,0,-8
2650,1,0,15,0,-15
2651,1,1,53,1248,1195
2652,0,0,25,0,-25
2653,1,1,118,1213,1095
2654,0,0,8,0,-8
2655,1,1,194,2252,2058
2656,0,0,65,0,-65
2657,0,0,100,0,-100
2658,1,1,71,1792,1721
2659,0,0,2,0,-2
2660,0,0,44,0,-44
2661,1,0,4,0,-4
2662,1,1,99,1231,1132
2663,0,0,12,0,-12
2664,0,0,89,0,-89
2665,0,0,21,0,-21
2666,0,0,32,0,-32
2667,0,0,144,0,-144
2668,1,0,22,0,-22
2669,1,0,18,0,-18
2670,0,0,12,0,-12
2671,1,1,156,1896,1740
2672,1,1,17,1213,1196
2673,1,1,93,1232,1139
2674,0,0,12,0,-12
2675,0,0,2,0,-2
2676,1,1,1146,1292,146
2677,1,1,236,1499,1263
2678,1,0,27,0,-27
2679,1,0,59,0,-59
2680,1,0,15,0,-15
2681,1,0,88,0,-88
2682,1,0,60,0,-60
2683,1,1,275,1853,1578
2684,0,0,57,0,-57
2685,1,0,4,0,-4
2686,0,0,18,0,-18
2687,0,0,0,0,0
2688,0,0,49,0,-49
2689,0,0,26,0,-26
2690,1,1,2397,1728,-669
2691,0,0,20,0,-20
2692,0,0,40,0,-40
2693,0,0,64,0,-64
2694,1,0,18,0,-18
2695,1,1,2114,1553,-561
2696,1,0,36,0,-36
2697,0,0,22,0,-22
2698,1,0,27,0,-27
2699,0,0,135,0,-135
2700,1,0,14,0,-14
2701,0,0,3,0,-3
2702,1,0,36,0,-36
2703,0,0,15,0,-15
2704,1,0,11,0,-11
2705,0,0,3,0,-3
2706,0,0,76,0,-76
2707,0,0,41,0,-41
2708,1,0,14,0,-14
2709,0,0,105,0,-105
2710,1,1,49,2551,2502
2711,0,0,28,0,-28
2712,0,0,6,0,-6
2713,0,0,5,0,-5
2714,0,0,1,0,-1
2715,1,0,24,0,-24
2716,0,0,0,0,0
2717,1,0,67,0,-67
2718,1,0,12,0,-12
2719,1,0,18,0,-18
2720,1,1,1281,1306,25
2721,0,0,20,0,-20
2722,0,0,11,0,-11
2723,1,1,109,1533,1424
2724,0,0,30,0,-30
2725,0,0,53,0,-53
2726,1,1,211,1386,1175
2727,1,1,435,1348,913
2728,0,0,72,0,-72
2729,0,0,8,0,-8
2730,1,1,833,1409,576
2731,0,0,21,0,-21
2732,1,1,783,1703,920
2733,1,0,10,0,-10
2734,0,0,37,0,-37
2735,0,0,3,0,-3
2736,0,0,19,0,-19
2737,0,0,5,0,-5
2738,1,0,104,0,-104
2739,0,0,13,0,-13
2740,1,0,37,0,-37
2741,1,0,4,0,-4
2742,0,0,34,0,-34
2743,1,0,16,0,-16
2744,0,0,15,0,-15
2745,0,0,37,0,-37
2746,1,1,303,1572,1269
2747,0,0,124,0,-124
2748,0,0,73,0,-73
2749,1,0,32,0,-32
2750,1,0,143,0,-143
2751,0,0,1,0,-1
2752,1,0,79,0,-79
2753,1,1,395,1466,1071
2754,1,1,70,1230,1160
2755,0,0,24,0,-24
2756,0,0,29,0,-29
2757,1,1,730,1385,655
2758,0,0,1,0,-1
2759,1,1,627,1628,1001
2760,1,1,69,1252,1183
2761,1,0,95,0,-95
2762,1,0,43,0,-43
2763,0,0,114,0,-114
2764,0,0,14,0,-14
2765,1,1,404,1389,985
2766,0,0,116,0,-116
2767,1,1,402,1654,1252
2768,1,1,591,1246,655
2769,1,1,36,1433,1397
2770,0,0,123,0,-123
2771,1,0,13,0,-13
2772,0,0,54,0,-54
2773,1,0,61,0,-61
2774,0,0,39,0,-39
2775,1,1,727,1296,569
2776,1,0,152,0,-152
2777,1,1,235,1342,1107
2778,1,0,62,0,-62
2779,1,1,642,1204,562
2780,1,0,6,0,-6
2781,1,0,122,0,-122
2782,1,0,13,0,-13
2783,1,0,3,0,-3
2784,0,0,44,0,-44
2785,1,0,102,0,-102
2786,0,0,52,0,-52
2787,1,1,120,1431,1311
2788,1,0,3,0,-3
2789,0,0,12,0,-12
2790,0,0,12,0,-12
2791,1,0,85,0,-85
2792,1,0,4,0,-4
2793,1,0,182,0,-182
2794,1,1,275,2281,2006
2795,0,0,16,0,-16
2796,1,1,195,1264,1069
2797,1,1,845,1415,570
2798,1,1,393,1513,1120
2799,1,0,141,0,-141
2800,1,1,256,2233,1977
2801,0,0,35,0,-35
2802,0,0,20,0,-20
2803,1,0,44,0,-44
2804,1,1,849,1225,376
2805,1,0,13,0,-13
2806,1,1,1544,1428,-116
2807,1,0,23,0,-23
2808,1,1,930,1243,313
2809,1,0,25,0,-25
2810,0,0,29,0,-29
2811,0,0,165,0,-165
2812,1,0,94,0,-94
2813,0,0,145,0,-145
2814,0,0,10,0,-10
2815,0,0,33,0,-33
2816,0,0,98,0,-98
2817,1,1,238,1408,1170
2818,1,0,7,0,-7
2819,1,0,228,0,-228
2820,1,0,45,0,-45
2821,0,0,17,0,-17
2822,1,0,51,0,-51
2823,1,1,1235,1335,100
2824,1,0,74,0,-74
2825,1,1,286,1596,1310
2826,1,0,42,0,-42
2827,1,1,520,1330,810
2828,1,1,1819,3985,2166
2829,1,0,52,0,-52
2830,1,1,203,1346,1143
2831,0,0,82,0,-82
2832,1,1,596,1596,1000
2833,1,1,848,1851,1003
2834,1,0,4,0,-4
2835,1,1,2186,1498,-688
2836,1,0,10,0,-10
2837,1,1,940,2392,1452
2838,0,0,4,0,-4
2839,1,1,100,1273,1173
2840,0,0,38,0,-38
2841,1,0,59,0,-59
2842,0,0,24,0,-24
2843,0,0,5,0,-5
2844,0,0,62,0,-62
2845,1,0,103,0,-103
2846,0,0,11,0,-11
2847,1,0,22,0,-22
2848,0,0,11,0,-11
2849,1,1,313,1521,1208
2850,1,1,109,1301,1192
2851,1,1,432,5920,5488
2852,1,0,48,0,-48
2853,0,0,30,0,-30
2854,1,1,919,1445,526
2855,1,0,147,0,-147
2856,1,1,1022,1807,785
2857,0,0,164,0,-164
2858,1,1,102,1723,1621
2859,0,0,7,0,-7
2860,0,0,17,0,-17
2861,0,0,103,0,-103
2862,1,0,23,0,-23
2863,0,0,18,0,-18
2864,1,0,83,0,-83
2865,0,0,11,0,-11
2866,1,0,51,0,-51
2867,1,0,51,0,-51
2868,1,1,305,2901,2596
2869,0,0,55,0,-55
2870,0,0,9,0,-9
2871,1,0,107,0,-107
2872,1,1,810,1204,394
2873,0,0,24,0,-24
2874,0,0,36,0,-36
2875,0,0,225,0,-225
2876,0,0,39,0,-39
2877,0,0,8,0,-8
2878,1,0,28,0,-28
2879,1,1,293,1292,999
2880,0,0,166,0,-166
2881,0,0,119,0,-119
2882,0,0,8,0,-8
2883,0,0,25,0,-25
2884,0,0,9,0,-9
2885,0,0,61,0,-61
2886,1,0,92,0,-92
2887,1,1,1399,1594,195
2888,1,1,1315,1272,-43
2889,0,0,29,0,-29
2890,1,0,66,0,-66
2891,1,0,90,0,-90
2892,1,0,43,0,-43
2893,1,1,144,1285,1141
2894,0,0,109,0,-109
2895,1,1,17,1361,1344
2896,0,0,37,0,-37
2897,1,1,55,1230,1175
2898,0,0,16,0,-16
2899,1,0,161,0,-161
2900,1,0,66,0,-66
2901,0,0,35,0,-35
2902,0,0,66,0,-66
2903,1,1,267,1407,1140
2904,0,0,263,0,-263
2905,1,1,106,1209,1103
2906,0,0,9,0,-9
2907,0,0,94,0,-94
2908,1,0,15,0,-15
2909,1,1,212,1449,1237
2910,1,0,8,0,-8
2911,0,0,8,0,-8
2912,1,0,128,0,-128
2913,1,0,38,0,-38
2914,0,0,23,0,-23
2915,1,0,80,0,-80
2916,1,1,211,1510,1299
2917,0,0,23,0,-23
2918,1,0,229,0,-229
2919,0,0,9,0,-9
2920,1,1,1066,1275,209
2921,0,0,100,0,-100
2922,0,0,66,0,-66
2923,0,0,8,0,-8
2924,0,0,124,0,-124
2925,1,1,680,1345,665
2926,0,0,25,0,-25
2927,1,1,766,1337,571
2928,1,1,254,1648,1394
2929,1,0,5,0,-5
2930,1,0,10,0,-10
2931,1,1,166,1449,1283
2932,0,0,2,0,-2
2933,1,0,32,0,-32
2934,0,0,13,0,-13
2935,0,0,10,0,-10
2936,1,1,1286,1484,198
2937,1,1,366,2714,2348
2938,1,0,6,0,-6
2939,1,1,194,1303,1109
2940,1,0,22,0,-22
2941,1,1,864,1533,669
2942,0,0,27,0,-27
2943,0,0,65,0,-65
2944,0,0,12,0,-12
2945,0,0,83,0,-83
2946,1,0,8,0,-8
2947,0,0,5,0,-5
2948,0,0,23,0,-23
2949,1,1,591,1802,1211
2950,0,0,6,0,-6
2951,1,1,552,1330,778
2952,0,0,16,0,-16
2953,0,0,13,0,-13
2954,1,1,251,2325,2074
2955,0,0,200,0,-200
2956,0,0,49,0,-49
2957,1,1,93,2356,2263
2958,0,0,48,0,-48
2959,0,0,173,0,-173
2960,1,1,93,1987,1894
2961,0,0,24,0,-24
2962,0,0,88,0,-88
2963,1,0,45,0,-45
2964,1,0,116,0,-116
2965,1,0,112,0,-112
2966,0,0,34,0,-34
2967,0,0,19,0,-19
2968,0,0,2,0,-2
2969,1,0,5,0,-5
2970,0,0,69,0,-69
2971,1,1,451,1338,887
2972,1,0,34,0,-34
2973,0,0,113,0,-113
2974,1,1,723,2023,1300
2975,1,1,1486,1252,-234
2976,0,0,3,0,-3
2977,1,0,210,0,-210
2978,1,0,1,0,-1
2979,1,0,16,0,-16
2980,0,0,59,0,-59
2981,1,1,279,1464,1185
2982,1,0,23,0,-23
2983,0,0,44,0,-44
2984,1,1,548,1282,734
2985,0,0,111,0,-111
2986,1,0,120,0,-120
2987,1,0,50,0,-50
2988,1,0,45,0,-45
2989,1,1,888,1275,387
2990,0,0,5,0,-5
2991,1,1,219,3265,3046
2992,1,1,250,1381,1131
2993,1,0,83,0,-83
2994,1,0,23,0,-23
2995,1,0,26,0,-26
2996,0,0,17,0,-17
2997,1,1,1987,1300,-687
2998,0,0,21,0,-21
2999,0,0,33,0,-33
3000,0,0,46,0,-46
3001,1,0,85,0,-85
3002,1,0,8,0,-8
3003,1,0,19,0,-19
3004,1,0,27,0,-27
3005,1,1,952,1691,739
3006,0,0,198,0,-198
3007,1,0,24,0,-24
3008,1,0,39,0,-39
3009,0,0,10,0,-10
3010,0,0,27,0,-27
3011,1,0,33,0,-33
3012,1,0,27,0,-27
3013,0,0,35,0,-35
